http://statistics.gov.scot/def/education/refEstablishment,Reference Establishment,Academic year 2015-16,Academic year 2016-17,Academic year 2017-18,Academic year 2018-19,Academic year 2019-20,Academic year 2020-21,Academic year 2021-22
http://statistics.gov.scot/id/education/establishment/5546230,St David's RC High School,65,68,73,63,68,74,58
http://statistics.gov.scot/id/education/establishment/5509939,St Kentigern's Academy,64,63,67,59,67,63,58
http://statistics.gov.scot/id/education/establishment/8505934,St Margaret's High School,66,60,56,48,50,66,58
http://statistics.gov.scot/id/education/establishment/8438730,St Roch's Secondary School,53,49,62,64,54,57,58
http://statistics.gov.scot/id/education/establishment/5939038,Dumfries Academy,52,64,70,58,60,59,57
http://statistics.gov.scot/id/education/establishment/5406439,Auchmuty High School,74,61,61,63,57,65,56
http://statistics.gov.scot/id/education/establishment/5350131,Blairgowrie High School,49,38,52,49,59,50,56
http://statistics.gov.scot/id/education/establishment/8519234,Brannock High School,54,49,38,42,52,57,56
http://statistics.gov.scot/id/education/establishment/5307236,Brechin High School,60,63,54,58,74,68,56
http://statistics.gov.scot/id/education/establishment/8517231,Calderhead High School,68,68,49,54,52,55,56
http://statistics.gov.scot/id/education/establishment/5219736,Fraserburgh Academy,72,72,63,60,61,57,56
http://statistics.gov.scot/id/education/establishment/5702631,Lornshill Academy,55,59,58,65,55,58,56
http://statistics.gov.scot/id/education/establishment/5330831,St John's RC High School,62,52,51,61,69,63,56
http://statistics.gov.scot/id/education/establishment/5339731,Braeview Academy,46,66,46,41,47,41,55
http://statistics.gov.scot/id/education/establishment/8110034,Campbeltown Grammar School,58,66,59,73,60,54,55
http://statistics.gov.scot/id/education/establishment/5243335,Dyce Academy,51,60,53,61,60,59,55
http://statistics.gov.scot/id/education/establishment/5532930,Gracemount High School,46,35,48,36,42,65,55
http://statistics.gov.scot/id/education/establishment/1003232,Levenmouth Academy,,46,51,44,35,49,55
http://statistics.gov.scot/id/education/establishment/5546036,Newbattle High School,57,65,61,52,46,56,55
http://statistics.gov.scot/id/education/establishment/6233139,The Nicolson Institute,72,74,57,58,66,73,55
http://statistics.gov.scot/id/education/establishment/8304831,Vale Of Leven Academy,57,69,59,60,62,60,55
http://statistics.gov.scot/id/education/establishment/5213231,Banff Academy,71,63,67,63,65,60,54
http://statistics.gov.scot/id/education/establishment/8518637,Cardinal Newman High School,71,72,72,60,68,70,54
http://statistics.gov.scot/id/education/establishment/8434336,Hillpark Secondary School,54,56,59,59,70,62,54
http://statistics.gov.scot/id/education/establishment/5407036,Kirkcaldy High School,58,60,58,63,65,56,54
http://statistics.gov.scot/id/education/establishment/8436339,Rosshall Academy,55,62,62,53,54,62,54
http://statistics.gov.scot/id/education/establishment/8519137,Taylor High School,67,78,82,73,77,68,54
http://statistics.gov.scot/id/education/establishment/5102138,Wick High School,61,57,55,68,68,61,54
http://statistics.gov.scot/id/education/establishment/5555736,Dunbar Grammar School,66,70,66,63,66,67,53
http://statistics.gov.scot/id/education/establishment/5546834,Penicuik High School,69,49,57,57,58,61,53
http://statistics.gov.scot/id/education/establishment/1005014,Robert Burns Academy,,,,,,62,53
http://statistics.gov.scot/id/education/establishment/6204139,Sir E Scott School,75,80,*,*,*,64,53
http://statistics.gov.scot/id/education/establishment/8438439,St Mungo's Academy,45,33,49,51,52,50,53
http://statistics.gov.scot/id/education/establishment/5533031,Holy Rood RC High School,48,43,53,57,59,65,52
http://statistics.gov.scot/id/education/establishment/5533430,Liberton High School,59,53,58,65,59,67,52
http://statistics.gov.scot/id/education/establishment/5556236,Ross High School,50,50,46,53,60,58,52
http://statistics.gov.scot/id/education/establishment/8458138,Bannerman High School,49,59,66,59,64,57,51
http://statistics.gov.scot/id/education/establishment/8458731,John Paul Academy,58,61,70,63,68,62,51
http://statistics.gov.scot/id/education/establishment/8437130,Smithycroft Secondary School,41,43,53,45,48,48,51
http://statistics.gov.scot/id/education/establishment/5246431,St Machar Academy,52,64,55,64,63,56,51
http://statistics.gov.scot/id/education/establishment/8506132,Coatbridge High School,52,50,60,49,46,56,50
http://statistics.gov.scot/id/education/establishment/5307538,Forfar Academy,62,66,56,56,65,64,50
http://statistics.gov.scot/id/education/establishment/5119030,Gairloch High School,61,61,70,75,76,70,50
http://statistics.gov.scot/id/education/establishment/5350239,St John's RC Academy,58,57,57,58,60,60,50
http://statistics.gov.scot/id/education/establishment/8438331,St Margaret Mary's Secondary School,32,53,48,58,45,52,50
http://statistics.gov.scot/id/education/establishment/5534631,Tynecastle High School,47,31,50,50,57,61,50
http://statistics.gov.scot/id/education/establishment/5948339,Annan Academy,48,64,66,67,68,57,49
http://statistics.gov.scot/id/education/establishment/8530130,Calderside Academy,48,54,44,52,53,61,49
http://statistics.gov.scot/id/education/establishment/5307031,Arbroath Academy,63,72,57,51,51,58,48
http://statistics.gov.scot/id/education/establishment/8517932,Clyde Valley High School,46,53,52,40,51,52,48
http://statistics.gov.scot/id/education/establishment/8215138,Irvine Royal Academy,36,36,46,39,43,35,48
http://statistics.gov.scot/id/education/establishment/5632730,Jedburgh Grammar School,55,71,66,61,64,53,48
http://statistics.gov.scot/id/education/establishment/8130434,Rothesay Academy,55,65,*,61,66,65,48
http://statistics.gov.scot/id/education/establishment/5331137,Baldragon Academy,51,53,41,34,57,46,47
http://statistics.gov.scot/id/education/establishment/8459932,Drumchapel High School,58,60,65,40,40,54,46
http://statistics.gov.scot/id/education/establishment/8432139,St Paul's High School,44,55,64,56,46,46,46
http://statistics.gov.scot/id/education/establishment/5407338,Viewforth High School,58,64,66,52,32,47,46
http://statistics.gov.scot/id/education/establishment/8433232,Eastbank Academy,45,65,57,35,34,38,45
http://statistics.gov.scot/id/education/establishment/5142431,Kilchuimen Academy,*,*,*,*,*,*,45
http://statistics.gov.scot/id/education/establishment/8435634,Knightswood Secondary School,51,53,53,56,54,50,45
http://statistics.gov.scot/id/education/establishment/5330033,St Paul's RC Academy,32,39,35,44,60,53,45
http://statistics.gov.scot/id/education/establishment/5903130,Stranraer Academy,61,56,49,40,49,38,45
http://statistics.gov.scot/id/education/establishment/5142636,Inverness High School,44,36,28,37,49,53,44
http://statistics.gov.scot/id/education/establishment/8235538,Ayr Academy,66,54,44,42,38,68,42
http://statistics.gov.scot/id/education/establishment/5119634,Invergordon Academy,60,60,50,64,63,49,42
http://statistics.gov.scot/id/education/establishment/8439532,Whitehill Secondary School,34,45,46,49,50,50,42
http://statistics.gov.scot/id/education/establishment/5531934,Castlebrae Community High School,39,*,47,38,*,38,39
http://statistics.gov.scot/id/education/establishment/5533937,Wester Hailes High School,19,*,30,23,44,51,39
http://statistics.gov.scot/id/education/establishment/8244138,Doon Academy,43,40,45,46,44,46,38
http://statistics.gov.scot/id/education/establishment/1004166,Lochside Academy,,,,39,44,43,38
http://statistics.gov.scot/id/education/establishment/8431639,Springburn Academy,45,52,52,54,43,42,36
http://statistics.gov.scot/id/education/establishment/8435731,Lochend Community High School,25,33,39,42,56,39,30
http://statistics.gov.scot/id/education/establishment/5244234,Northfield Academy,49,49,27,29,42,28,26
http://statistics.gov.scot/id/education/establishment/8243131,Auchinleck Academy,57,72,70,68,70,,
http://statistics.gov.scot/id/education/establishment/5406331,Buckhaven High School,54,,,,,,
http://statistics.gov.scot/id/education/establishment/8243239,Cumnock Academy,55,59,60,59,66,,
http://statistics.gov.scot/id/education/establishment/8224439,James Hamilton Academy,65,71,70,,,,
http://statistics.gov.scot/id/education/establishment/8223939,Kilmarnock Academy,73,65,74,,,,
http://statistics.gov.scot/id/education/establishment/5243831,Kincorth Academy,68,75,56,,,,
http://statistics.gov.scot/id/education/establishment/5407532,Kirkland High School,49,,,,,,
http://statistics.gov.scot/id/education/establishment/5939534,Maxwelltown High School,41,30,*,,,,
http://statistics.gov.scot/id/education/establishment/5330238,Menzieshill High School,39,,,,,,
http://statistics.gov.scot/id/education/establishment/5244838,Torry Academy,47,52,35,,,,
