http://statistics.gov.scot/def/education/refEstablishment,Reference Establishment,Academic year 2015-16,Academic year 2016-17,Academic year 2017-18,Academic year 2018-19,Academic year 2019-20,Academic year 2020-21,Academic year 2021-22
http://statistics.gov.scot/id/education/establishment/5939739,Wallace Hall Academy,66,65,63,74,69,81,81
http://statistics.gov.scot/id/education/establishment/5702836,Alva Academy,57,74,72,74,69,71,80
http://statistics.gov.scot/id/education/establishment/5532132,Craigmount High School,75,79,82,75,85,80,80
http://statistics.gov.scot/id/education/establishment/5722438,Dunblane High School,88,91,92,89,92,85,80
http://statistics.gov.scot/id/education/establishment/5546532,Lasswade High School Centre,67,73,77,72,70,73,80
http://statistics.gov.scot/id/education/establishment/8337934,St Ninian's High School,67,68,82,83,84,89,80
http://statistics.gov.scot/id/education/establishment/5510236,Linlithgow Academy,87,79,80,72,80,77,79
http://statistics.gov.scot/id/education/establishment/5202930,Milne's High School,63,70,60,55,72,68,79
http://statistics.gov.scot/id/education/establishment/8224730,Stewarton Academy,75,77,78,76,72,82,79
http://statistics.gov.scot/id/education/establishment/5119332,Fortrose Academy,75,74,76,71,85,78,78
http://statistics.gov.scot/id/education/establishment/5556031,North Berwick High School,71,84,83,80,74,85,78
http://statistics.gov.scot/id/education/establishment/8645531,Port Glasgow High School,58,67,57,61,89,83,78
http://statistics.gov.scot/id/education/establishment/5518334,Queensferry Community High School,64,66,76,76,73,76,78
http://statistics.gov.scot/id/education/establishment/5941032,St Joseph's College,80,69,67,71,70,80,78
http://statistics.gov.scot/id/education/establishment/5102030,Thurso High School,65,68,71,70,72,63,78
http://statistics.gov.scot/id/education/establishment/5510430,Whitburn Academy,52,54,61,69,61,76,78
http://statistics.gov.scot/id/education/establishment/8640130,Clydeview Academy,78,83,77,69,75,69,77
http://statistics.gov.scot/id/education/establishment/8304734,Hermitage Academy,79,80,80,77,73,81,77
http://statistics.gov.scot/id/education/establishment/5918731,Kirkcudbright Academy,60,83,68,75,69,68,77
http://statistics.gov.scot/id/education/establishment/8238030,Kyle Academy,77,86,78,77,84,82,77
http://statistics.gov.scot/id/education/establishment/5142830,Millburn Academy,63,60,61,58,61,71,77
http://statistics.gov.scot/id/education/establishment/5339537,Monifieth High School,79,85,83,80,76,84,77
http://statistics.gov.scot/id/education/establishment/8645132,Notre Dame High School,74,67,77,76,75,69,77
http://statistics.gov.scot/id/education/establishment/8506736,St Ambrose High School,65,66,63,67,74,75,77
http://statistics.gov.scot/id/education/establishment/8645639,St Stephen's High School,65,68,72,75,73,89,77
http://statistics.gov.scot/id/education/establishment/8110638,Tobermory High School,73,*,81,75,*,*,77
http://statistics.gov.scot/id/education/establishment/8525331,Uddingston Grammar School,62,64,66,64,79,83,77
http://statistics.gov.scot/id/education/establishment/5230934,Alford Academy,77,69,62,55,70,69,76
http://statistics.gov.scot/id/education/establishment/5251834,Banchory Academy,73,81,84,78,74,83,76
http://statistics.gov.scot/id/education/establishment/8627630,Barrhead High School,70,66,76,61,75,58,76
http://statistics.gov.scot/id/education/establishment/8516936,Dalziel High School,75,83,83,79,83,80,76
http://statistics.gov.scot/id/education/establishment/5350530,Kinross High School,70,77,67,68,77,83,76
